,address,coordinates
180,"ул. Набережная Б., д. 19, к. 1, Москва",0
181,"ул. Набережная Б., д. 19, к. 3, Москва",0
182,"ул. Набережная Б., д. 19, к. 2, Москва",0
183,"ул. Очаковская Б., д. 1, Москва","[37.4505786, 55.6787776]"
184,"ул. Очаковская Б., д. 3, Москва","[37.4505786, 55.6787776]"
185,"ул. Очаковская Б., д. 5, Москва","[37.4694971, 55.6916854]"
186,"ул. Очаковская Б., д. 10, к. 1, Москва",0
187,"ул. Очаковская Б., д. 10, к. 2, Москва",0
188,"ш. Боровское, д. 2А, к. 3, Москва","[37.4115097, 55.661721]"
189,"ш. Боровское, д. 2А, к. 4, Москва","[37.41010595, 55.66141315]"
190,"ш. Боровское, д. 2А, к. 1, Москва","[37.414236050822524, 55.6614883]"
191,"ш. Боровское, д. 2А, к. 2, Москва","[37.4130553, 55.6619435]"
192,"ш. Боровское, д. 2, к. 7, Москва","[37.4159914, 55.6620998]"
193,"ул. Братеевская, д. 18, к. 1, Москва","[37.76925834535626, 55.636244149999996]"
194,"ул. Братеевская, д. 21, к. 3, Москва","[37.7542116401353, 55.632029349999996]"
195,"ул. Братеевская, д. 21, к. 4, Москва","[37.7542334, 55.6315275]"
196,"пр-кт. Буденного, д. 51, к. 6, Москва","[37.739208838437506, 55.7588922]"
197,"пр-кт. Буденного, д. 51, к. 5, Москва","[37.73874386922433, 55.7593903]"
198,"проезд. Валдайский, д. 10, к. 1, Москва","[37.46731417428451, 55.867047799999995]"
199,"ш. Варшавское, д. 141, к. 6, Москва","[37.6016667789511, 55.5903989]"
200,"ш. Варшавское, д. 141, к. 7, Москва","[37.6013684, 55.5900757]"
201,"ш. Варшавское, д. 141, к. 8, Москва","[37.60131448762024, 55.5893796]"
202,"ш. Варшавское, д. 141, к. 9, Москва","[37.6007693, 55.5884824]"
203,"ш. Варшавское, д. 141А, к. 1, Москва","[37.6011404, 55.58531715]"
204,"ш. Варшавское, д. 152, Москва","[37.5995204, 55.5934481]"
205,"ул. Васильцовский Стан, д. 5, к. 1, Москва","[37.75081564901029, 55.71393105]"
206,"ул. Васильцовский Стан, д. 7, к. 1, Москва","[37.7501344292924, 55.714909250000005]"
207,"ул. Васильцовский Стан, д. 9, Москва","[37.7509239, 55.7158512]"
208,"ул. Веерная, д. 4, к. 1, Москва","[37.4893134, 55.7122385]"
209,"пр-кт. Вернадского, д. 42, к. 1, Москва","[37.4995561261842, 55.6752431]"
210,"пр-кт. Вернадского, д. 42, к. 2, Москва","[37.49901415495085, 55.67549085]"
211,"ул. Вертолетчиков, д. 1, Москва","[37.939764999614205, 55.70012215]"
212,"ул. Вертолетчиков, д. 13, Москва","[37.94107061342655, 55.7038414]"
213,"ул. Верхние Поля, д. 4, Москва","[37.744116242348255, 55.660865]"
214,"ул. Верхние Поля, д. 8, Москва","[37.74519249212632, 55.662597500000004]"
215,"ул. Верхние Поля, д. 14, к. 1, Москва","[37.747924304467446, 55.66212575]"
216,"ул. Верхние Поля, д. 16, к. 1, Москва","[37.7472481, 55.6626094]"
217,"ул. Верхние Поля, д. 34, к. 1, Москва","[37.76200002036751, 55.6677918]"
218,"ул. Вешняковская, д. 24, к. 1, Москва","[37.820922296848735, 55.719413700000004]"
219,"проезд. Высоковольтный, д. 1, к. 1, Москва","[37.58909020967856, 55.874007649999996]"
220,"проезд. Высоковольтный, д. 1, к. 2, Москва","[37.58913866036356, 55.8743494]"
221,"проезд. Высоковольтный, д. 1, к. 7, Москва","[37.58916669104456, 55.87470075]"
222,"проезд. Высоковольтный, д. 1, к. 8, Москва","[37.589144600968595, 55.87507905]"
223,"ул. Генерала Белова, д. 28, к. 1, Москва","[37.72464564692982, 55.6052435]"
224,"б-р. Генерала Карбышева, д. 16, к. -, Москва","[37.47260543606189, 55.7807258]"
225,"ул. Герасима Курина, д. 26, Москва","[37.46467657228791, 55.73058065]"
226,"ул. Главмосстроя, д. 6, Москва","[37.409693, 55.6515077]"
227,"ул. Главмосстроя, д. 10, Москва","[37.40964998291422, 55.653262749999996]"
228,"ул. Главмосстроя, д. 14, Москва","[37.408851, 55.6548007]"
229,"ул. Главмосстроя, д. 18, Москва","[37.4078084, 55.6551221]"
230,"ул. Главмосстроя, д. 20, Москва","[37.40811121153966, 55.65552975]"
231,"ул. Гурьянова, д. 17, к. 1, Москва","[37.720629665581875, 55.6886689]"
232,"ул. Гурьянова, д. 17, к. 2, Москва","[37.71972772657005, 55.688318]"
233,"ул. Гурьянова, д. 19, к. 1, Москва","[37.71872713868577, 55.688121949999996]"
234,"ул. Гурьянова, д. 19, к. 2, Москва","[37.717654747225794, 55.6880612]"
235,"ш. Дмитровское, д. 70, Москва","[37.5590533, 55.8589392]"
236,"ш. Дмитровское, д. 74, к. 2, Москва","[37.556324302799794, 55.86133705]"
237,"ш. Дмитровское, д. 86, Москва","[37.54989554076958, 55.869385699999995]"
238,"ул. Ельнинская, д. 14, к. 2, Москва","[37.42594657876059, 55.7381308]"
239,"ул. Заповедная, д. 18, к. 1, Москва","[37.6392056, 55.86751625]"
240,"ул. Заповедная, д. 18, к. 2, Москва","[37.6388502, 55.86791965]"
241,"ул. Заповедная, д. 18, к. 4, Москва","[37.638522, 55.8687833]"
242,"ул. Заповедная, д. 18, к. 3, Москва","[37.63853849210116, 55.868370049999996]"
243,"проезд. Заревый, д. 1, к. 1, Москва","[37.65833661281482, 55.8826492]"
244,"ул. Инициативная, д. 7, к. 3, Москва","[37.4586052, 55.7147115]"
245,"наб. Карамышевская, д. 34, Москва","[37.47267284585858, 55.76921765]"
246,"наб. Карамышевская, д. 62, к. 1, Москва","[37.4595163485981, 55.775641750000005]"
247,"ул. Ключевая, д. 18, Москва","[37.7610075, 55.6338845]"
248,"ул. Ключевая, д. 20, Москва","[37.7609497, 55.633546550000005]"
249,"ул. Коштоянца, д. 20, к. 1, Москва","[37.47769890000001, 55.674290299999996]"
250,"ул. Красного Маяка, д. 22, к. 3, Москва","[37.57745924988091, 55.61252575]"
251,"б-р. Кронштадтский, д. 49, к. 1, Москва","[37.50953864305148, 55.85301935]"
252,"ул. Крылатские Холмы, д. 24, Москва","[37.416205654503045, 55.76299445]"
253,"ул. Лавочкина, д. 34, Москва","[37.4928686, 55.8567983]"
254,"ул. Лавочкина, д. 34, к. 1, Москва","[37.49427468277642, 55.85744975]"
255,"г. Московский, ул. Лаптева, д. 2, Москва",0
256,"ул. Левобережная, д. 4, к. 10, Москва","[37.48060797377306, 55.86961384999999]"
257,"ул. Левобережная, д. 4, к. 11, Москва","[37.479724860919674, 55.86932085]"
258,"ул. Левобережная, д. 4, к. 18, Москва","[37.48012443483479, 55.8689617]"
259,"ул. Левобережная, д. 4, к. 2, Москва","[37.475908591547466, 55.870346850000004]"
260,"ул. Левобережная, д. 4, к. 3, Москва","[37.47555478185157, 55.8706737]"
261,"ул. Левобережная, д. 4, к. 16, Москва","[37.4753121, 55.8710493]"
262,"пр-кт. Ленинградский, д. 76, к. 3, Москва","[37.51585887895412, 55.807175349999994]"
263,"пр-кт. Ленинградский, д. 76, к. 4, Москва","[37.51617105065565, 55.806303150000005]"
264,"пр-кт. Ленинский, д. 105, к. 4, Москва","[37.51795070356067, 55.66344185]"
265,"пр-кт. Ленинский, д. 105, к. 3, Москва","[37.51757793974056, 55.66433655]"
266,"ул. Летчика Грицевца (п Внуковское), д. 16, Москва","[37.3008303, 55.6248501]"
267,"ул. Лобачевского, д. 4, к. 1, Москва","[37.5072277, 55.6656758]"
268,"ул. Лобачевского, д. 41, Москва","[37.47142215, 55.68907405]"
269,"ул. Лобачевского, д. 43, Москва","[37.47026795621622, 55.68994335]"
270,"ул. Лобачевского, д. 45, Москва","[37.46915763190475, 55.690808149999995]"
271,"ул. Лобачевского, д. 92, к. 1, Москва","[37.4834395356458, 55.679766]"
272,"ул. Лобачевского, д. 118, к. 5, Москва","[37.470331, 55.693092]"
273,"ул. Лодочная, д. 9, к. 1, Москва","[37.45875624720718, 55.837426199999996]"
274,"ул. Лодочная, д. 9, Москва","[37.45631924416962, 55.836694550000004]"
275,"ул. Лодочная, д. 17, Москва","[37.45977664416961, 55.83650325]"
276,"ул. Лукинская, д. 10, Москва","[37.3434621, 55.6493915]"
277,"ул. Льва Яшина, д. 5, к. 1, Москва","[37.923285, 55.6981938]"
278,"ул. Льва Яшина, д. 5, к. 2, Москва","[37.9239216, 55.6985531]"
279,"ул. Льва Яшина, д. 5, к. 3, Москва","[37.9243049, 55.6989602]"
280,"ул. Милашенкова, д. 1, Москва","[37.5882297, 55.8217603]"
281,"ул. Митинская, д. 10, Москва","[37.3784378, 55.83985]"
282,"ул. Митинская, д. 10, к. 1, Москва","[37.37899202630228, 55.84086105]"
283,"ул. Митинская, д. 28, к. 2, Москва","[37.3694138, 55.846213]"
284,"ул. Митинская, д. 28, Москва","[37.3668207, 55.8448225]"
285,"ул. Митинская, д. 28, к. 3, Москва","[37.37192952802192, 55.8461055]"
286,"ул. Митинская, д. 28, к. 4, Москва","[37.3729348, 55.845589]"
287,"ул. Митинская, д. 28, к. 5, Москва","[37.37147724252752, 55.84425015]"
288,"пр-кт. Мичуринский, д. 72, к. 1, Москва","[37.46683194240123, 55.6813264]"
289,"пр-кт. Мичуринский, д. 72, к. 2, Москва","[37.46661498538866, 55.6817984]"
290,"ул. Молодогвардейская, д. 24, Москва","[37.42015489999535, 55.73526915]"
291,"ул. Молодцова, д. 31, к. 2, Москва","[37.622402050000005, 55.878704850000005]"
292,"п. Московский, г. Московский, ул. Москвитина, д. 1, к. 1, Москва",0
293,"п. Московский, г. Московский, ул. Москвитина, д. 1, к. 2, Москва",0
294,"п. Московский, г. Московский, ул. Москвитина, д. 5, к. 1, Москва",0
295,"п. Московский, г. Московский, ул. Москвитина, д. 5, к. 2, Москва",0
296,"п. Московский, г. Московский, ул. Москвитина, д. 5, к. 3, Москва",0
297,"п. Московский, г. Московский, ул. Москвитина, д. 5, к. 4, Москва",0
298,"наб. Нагатинская, д. 18, к. 1, Москва","[37.656995867226705, 55.68388385]"
299,"ул. Нарвская, д. 1А, к. 4, Москва","[37.501489705437706, 55.831186349999996]"
300,"ул. Народного Ополчения, д. 3, Москва","[37.48342569393844, 55.77932585]"
301,"ул. Недорубова, д. 3, Москва","[37.92912181970597, 55.69957915]"
302,"ул. Недорубова, д. 5, Москва","[37.92977903539399, 55.700026449999996]"
303,"ул. Недорубова, д. 7, Москва","[37.930449122165655, 55.7006333]"
304,"ул. Недорубова, д. 14, Москва","[37.934675642503294, 55.702064750000005]"
305,"ул. Недорубова, д. 18, к. 1, Москва","[37.93556985, 55.7025077]"
306,"ул. Недорубова, д. 20, к. 1, Москва","[37.9339457, 55.7067545]"
307,"ул. Нежинская, д. 8, к. 1, Москва","[37.46998937701984, 55.7091318]"
308,"ул. Нежинская, д. 8, к. 4, Москва","[37.4719038, 55.7102605]"
309,"ул. Никулинская, д. 6, к. 3, Москва","[37.46302046848106, 55.66795215]"
310,"ул. Никулинская, д. 6, к. 2, Москва","[37.46348109037456, 55.667151950000004]"
311,"ул. Никулинская, д. 6, к. 1, Москва","[37.46406994744058, 55.666704249999995]"
312,"ул. Никулинская, д. 12, к. 2, Москва","[37.46696587778659, 55.6702378]"
313,"ул. Никулинская, д. 12, к. 1, Москва","[37.46747712355197, 55.669559]"
314,"ул. Новаторов, д. 34, к. 7, Москва","[37.5210892, 55.6641355]"
315,"ул. Новогиреевская, д. 30, Москва","[37.79665186634672, 55.7551193]"
316,"ул. Новокосинская, д. 13, к. 2, Москва","[37.8540403, 55.7369829]"
317,"ул. Новорогожская, д. 20, Москва","[37.6876673, 55.7400561]"
318,"ул. Новорогожская, д. 28, Москва","[37.688998350000006, 55.73967715]"
319,"ул. Новочеремушкинская, д. 63, к. 1, Москва","[37.566621608087004, 55.66517155]"
320,"б-р. Осенний, д. 17, Москва","[37.4055751439347, 55.76178635]"
321,"ул. Перерва, д. 39, Москва","[37.746488514820555, 55.659166]"
322,"ул. Перерва, д. 43, Москва","[37.7481453, 55.6589474]"
323,"ул. Перерва, д. 55, Москва","[37.76184151648936, 55.665243700000005]"
324,"ул. Перерва, д. 57, Москва","[37.76299667883699, 55.665716200000006]"
