,address,coordinates
4310,"ш. Пятницкое, д. 8, Москва","[37.3884827, 55.8386412]"
4311,"ш. Пятницкое, д. 9, Москва","[37.38535352241771, 55.8393956]"
4312,"ш. Пятницкое, д. 10, Москва","[37.38882332225778, 55.83947545]"
4313,"ш. Пятницкое, д. 11, Москва","[37.384101605118076, 55.84060785]"
4314,"ш. Пятницкое, д. 13, к. 1, Москва","[37.3818232263525, 55.840979000000004]"
4315,"ш. Пятницкое, д. 14, Москва","[37.3864129, 55.8414386]"
4316,"ш. Пятницкое, д. 16, Москва","[37.385164, 55.8419859]"
4317,"ш. Пятницкое, д. 23, Москва","[37.36850123264059, 55.84865695]"
4318,"ш. Пятницкое, д. 23, к. 2, Москва","[37.3681924, 55.8477015]"
4319,"ш. Пятницкое, д. 25, Москва","[37.36585784768755, 55.8487776]"
4320,"ш. Пятницкое, д. 25, к. 1, Москва","[37.3646567, 55.8484864]"
4321,"ш. Пятницкое, д. 31, Москва","[37.3634576890789, 55.851164049999994]"
4322,"ш. Пятницкое, д. 35, Москва","[37.3611444, 55.8524332]"
4323,"ш. Пятницкое, д. 37, Москва","[37.3581264, 55.8539276]"
4324,"ш. Пятницкое, д. 37, к. 1, Москва","[37.35550287442791, 55.85419325]"
4325,"ш. Пятницкое, д. 38, к. 1, Москва","[37.36285235, 55.8557538]"
4326,"ш. Пятницкое, д. 40, к. 1, Москва","[37.36107144349389, 55.85580265]"
4327,"ш. Пятницкое, д. 41, Москва","[37.3519546, 55.8568362]"
4328,"ш. Пятницкое, д. 41, к. 1, Москва","[37.350702010278596, 55.856518300000005]"
4329,"ш. Пятницкое, д. 42, к. 1, Москва","[37.35983711078572, 55.856395449999994]"
4330,"ш. Пятницкое, д. 43, к. 1, Москва","[37.34946230972827, 55.856539749999996]"
4331,"ш. Пятницкое, д. 45, Москва","[37.34934724935425, 55.8579213]"
4332,"ш. Пятницкое, д. 47, Москва","[37.347473335795854, 55.85895875]"
4333,"ул. Раменки, д. 6, к. 2, Москва","[37.4927527, 55.6932212]"
4334,"ул. Раменки, д. 6, к. 1, Москва","[37.493502986835836, 55.6933444]"
4335,"ул. Раменки, д. 7, к. 3, Москва","[37.49407735000001, 55.691105050000004]"
4336,"ул. Раменки, д. 7, к. 2, Москва","[37.4953613, 55.6918564]"
4337,"ул. Раменки, д. 7, к. 1, Москва","[37.496761460387475, 55.6926134]"
4338,"ул. Раменки, д. 8, к. 2, Москва","[37.4912066, 55.6923037]"
4339,"ул. Раменки, д. 8, к. 1, Москва","[37.492376300000004, 55.69239965]"
4340,"ул. Раменки, д. 9, к. 3, Москва","[37.495452770140695, 55.6910617]"
4341,"ул. Раменки, д. 9, к. 2, Москва","[37.496787350000005, 55.69182565]"
4342,"ул. Раменки, д. 9, к. 1, Москва","[37.49820082734681, 55.69253535]"
4343,"ул. Раменки, д. 9, к. 4, Москва","[37.49413355, 55.690303]"
4344,"ул. Раменки, д. 11, к. 1, Москва","[37.49837830214668, 55.69175055]"
4345,"ул. Раменки, д. 11, к. 2, Москва","[37.49698807880529, 55.69096845]"
4346,"ул. Раменки, д. 11, к. 3, Москва","[37.49563485, 55.6902333]"
4347,"ул. Раменки, д. 12, Москва","[37.49107321172322, 55.691561750000005]"
4348,"ул. Раменки, д. 14, к. 2, Москва","[37.48898096241138, 55.69058975]"
4349,"ул. Раменки, д. 14, к. 1, Москва","[37.49035551066428, 55.69076695]"
4350,"ул. Раменки, д. 16, Москва","[37.489783910426375, 55.69009925]"
4351,"ул. Раменки, д. 18, Москва","[37.48840209486711, 55.689868149999995]"
4352,"ул. Раменки, д. 25, к. 1, Москва","[37.492819949507776, 55.688809649999996]"
4353,"ул. Раменки, д. 25, к. 4, Москва","[37.49279560846263, 55.687939799999995]"
4354,"ул. Раменки, д. 25, к. 2, Москва","[37.495064267197634, 55.68866745]"
4355,"ул. Рогова, д. 7, к. 2, Москва","[37.46012775455705, 55.79424455]"
4356,"ул. Родниковая, д. 4, к. 5, Москва","[37.375833176086395, 55.63836705]"
4357,"ул. Родниковая, д. 4, к. 6, Москва","[37.375640250000004, 55.63918135]"
4358,"ш. Рублевское, д. 14, к. 3, Москва","[37.43821021012555, 55.74002255]"
4359,"ш. Рублевское, д. 28, к. 1, Москва","[37.42142888308625, 55.7466512]"
4360,"ш. Рублевское, д. 28, к. 3, Москва","[37.421921470463005, 55.747780199999994]"
4361,"ш. Рублевское, д. 30, к. 1, Москва","[37.42027543092783, 55.74718605]"
4362,"ш. Рублевское, д. 30, к. 2, Москва","[37.42031303949892, 55.7482173]"
4363,"ш. Рублевское, д. 32, Москва","[37.41837650739288, 55.74792545]"
4364,"ш. Рублевское, д. 34, к. 1, Москва","[37.41718437114264, 55.74837235]"
4365,"ш. Рублевское, д. 36, к. 1, Москва","[37.41605508779509, 55.749136]"
4366,"ш. Рублевское, д. 38, к. 1, Москва","[37.41479205032812, 55.749795]"
4367,"ш. Рублевское, д. 38, к. 2, Москва","[37.41677839920337, 55.7502975]"
4368,"ш. Рублевское, д. 40, к. 1, Москва","[37.41366182722885, 55.75030515]"
4369,"ш. Рублевское, д. 40, к. 3, Москва","[37.41527824301242, 55.750923650000004]"
4370,"ш. Рублевское, д. 42, к. 2, Москва","[37.413579258756165, 55.75133355]"
4371,"ш. Рублевское, д. 50, Москва","[37.40499234849161, 55.7551845]"
4372,"ш. Рублевское, д. 52, Москва","[37.40307012871071, 55.7559177]"
4373,"ш. Рублевское, д. 93, к. 2, Москва","[37.42608972130413, 55.7399408]"
4374,"наб. Рубцовская, д. 2, к. 3, Москва","[37.694835268580334, 55.773763849999995]"
4375,"ул. Русаковская, д. 28, Москва","[37.6829601, 55.7884806]"
4376,"ул. Садовая-Триумфальная, д. 12/14, стр. 1, Москва","[37.6012284, 55.7712883]"
4377,"ул. Садовая-Триумфальная, д. 18-20, Москва","[37.60280982232018, 55.771641200000005]"
4378,"ул. Салтыковская, д. 15, к. 1, Москва","[37.86488674310954, 55.7378352]"
4379,"ул. Салтыковская, д. 15, к. 2, Москва","[37.865629560918194, 55.7376424]"
4380,"ул. Салтыковская, д. 15, к. 3, Москва","[37.8665373317095, 55.7377743]"
4381,"ул. Салтыковская, д. 21, Москва","[37.8701241027041, 55.73848865]"
4382,"ул. Салтыковская, д. 23, к. 1, Москва","[37.870985677945015, 55.73870205]"
4383,"ул. Салтыковская, д. 23, к. 2, Москва","[37.87140481863117, 55.73913115]"
4384,"ул. Салтыковская, д. 39, Москва","[37.87792925768946, 55.7422354]"
4385,"ул. Салтыковская, д. 41, Москва","[37.87856688958432, 55.7425346]"
4386,"ул. Салтыковская, д. 43, Москва","[37.878669904702924, 55.742949249999995]"
4387,"б-р. Самаркандский, д. 12, Москва","[37.82605385, 55.70472385]"
4388,"ул. Санникова, д. 1, Москва","[37.595173829568566, 55.85924285]"
4389,"ул. Санникова, д. 3, к. 2, Москва","[37.59300812730557, 55.86051345]"
4390,"ул. Санникова, д. 3, к. 1, Москва","[37.5947804169664, 55.86019255]"
4391,"ул. Санникова, д. 7, Москва","[37.5964734, 55.8605455]"
4392,"ул. Санникова, д. 9, к. 2, Москва","[37.59485439967598, 55.8616738]"
4393,"ул. Санникова, д. 9, к. 1, Москва","[37.59630858963349, 55.8612777]"
4394,"ул. Санникова, д. 15, к. 2, Москва","[37.598139700000004, 55.86309405]"
4395,"проезд. Саперный, д. 9, Москва","[37.82343905000003, 55.757287149999996]"
4396,"проезд. Саперный, д. 13, Москва","[37.8258582, 55.7566346]"
4397,"ул. Севанская, д. 3, к. 2, Москва","[37.6624636719163, 55.619124600000006]"
4398,"пр-кт. Севастопольский, д. 83, к. 2, Москва","[37.565903216481416, 55.65018295]"
4399,"пр-кт. Севастопольский, д. 83, к. 1, Москва","[37.56704281648141, 55.650495649999996]"
4400,"б-р. Северный, д. 15, Москва","[37.612110349999995, 55.8685702]"
4401,"ул. Северодвинская, д. 9, Москва","[37.67894005054362, 55.8892784]"
4402,"ул. Северодвинская, д. 11, к. 1, Москва","[37.67962579741874, 55.8906314]"
4403,"ул. Северодвинская, д. 13, к. 1, Москва","[37.6807049884665, 55.8919666]"
4404,"ул. Сельскохозяйственная, д. 18, к. 3, Москва","[37.645468123321315, 55.8384502]"
4405,"ул. Сельскохозяйственная, д. 18, к. 4, Москва","[37.64391384477511, 55.838997250000006]"
4406,"ул. Сивашская, д. 7, к. 2, Москва","[37.60338129357945, 55.65835395]"
4407,"ул. Сивашская, д. 7, к. 1, Москва","[37.604295500475075, 55.65909565]"
4408,"ул. Сивашская, д. 7, Москва","[37.60507475, 55.65967645]"
4409,"б-р. Симферопольский, д. 14, к. 3, Москва","[37.6044217024065, 55.654719150000005]"
4410,"б-р. Симферопольский, д. 14, к. 1, Москва","[37.604684873942055, 55.656042549999995]"
4411,"б-р. Сиреневый, д. 4, к. 3, Москва","[37.76687483121273, 55.80194555]"
4412,"ул. Скобелевская, д. 8, Москва","[37.5541916, 55.5504926]"
4413,"ул. Скобелевская, д. 20, Москва","[37.555471, 55.5461456]"
4414,"ул. Скульптора Мухиной, д. 6, Москва","[37.3466175, 55.6427431]"
4415,"ул. Скульптора Мухиной, д. 10, Москва","[37.3432481, 55.6406805]"
4416,"ул. Скульптора Мухиной, д. 12, Москва","[37.3418189, 55.6398184]"
4417,"б-р. Смоленский, д. 6-8, Москва","[37.58643558451606, 55.740320499999996]"
4418,"ул. Снайперская, д. 2, к. 1, Москва","[37.81596171210525, 55.7252689]"
4419,"ул. Снежная, д. 25, Москва","[37.6519529, 55.8552682]"
4420,"ул. Снежная, д. 27, к. 2, Москва","[37.65120345196141, 55.8566116]"
4421,"ул. Снежная, д. 27, к. 1, Москва","[37.6525122, 55.8560774]"
4422,"ул. Солдатская, д. 3, Москва","[37.70269188652658, 55.7654589]"
4423,"пер. Солдатский, д. 8, Москва","[37.70383880069049, 55.766627299999996]"
4424,"пр-кт. Солнцевский, д. 13, к. 1, Москва","[37.405339591486836, 55.6482556]"
4425,"пр-кт. Солнцевский, д. 15, Москва","[37.407019095531034, 55.6486829]"
4426,"пр-кт. Солнцевский, д. 17, к. 1, Москва","[37.4116116, 55.64778]"
4427,"пр-кт. Солнцевский, д. 19, Москва","[37.41057589671776, 55.6472318]"
4428,"пр-кт. Солнцевский, д. 23, Москва","[37.41364303299367, 55.6466407]"
4429,"пр-кт. Солнцевский, д. 25/2, Москва","[37.4147683, 55.6460809]"
4430,"ул. Первомайская Ср., д. 13, Москва","[37.7783622, 55.9147765]"
4431,"ул. Первомайская Ср., д. 17, Москва","[37.4936631, 55.9914508]"
4432,"ул. Первомайская Ср., д. 38/7, Москва",0
4433,"ул. Старокачаловская, д. 1, к. 2, Москва","[37.586083520890185, 55.5679464]"
4434,"ул. Старокачаловская, д. 3, к. 1, Москва","[37.5842807093325, 55.56848645]"
4435,"ул. Старокачаловская, д. 3, к. 3, Москва","[37.58198945780051, 55.569013850000005]"
4436,"ул. Старокачаловская, д. 3, к. 4, Москва","[37.58323811335137, 55.568181100000004]"
4437,"ул. Стартовая, д. 7, Москва","[37.70398895, 55.886629049999996]"
4438,"ул. Стартовая, д. 9, к. 1, Москва","[37.7014459, 55.8860626]"
4439,"ул. Стартовая, д. 9, к. 2, Москва","[37.701805876761966, 55.886324599999995]"
4440,"ул. Стартовая, д. 11, Москва","[37.69939402436309, 55.885973050000004]"
4441,"ул. Стартовая, д. 35, Москва","[37.68853941284068, 55.88609085]"
4442,"пер. Студенецкий, д. 3, Москва","[37.5557021115405, 55.7576381]"
4443,"проезд. Студеный, д. 4, к. 2, Москва","[37.65531903390218, 55.89233815]"
4444,"проезд. Студеный, д. 4, к. 5, Москва","[37.65353032463311, 55.89236225]"
4445,"проезд. Студеный, д. 4, к. 6, Москва","[37.65315139779718, 55.89124485]"
4446,"ул. Судостроительная, д. 18, к. 5, Москва","[37.67950200816874, 55.68123335]"
4447,"ул. Суздальская, д. 12, к. 1, Москва","[37.8477866, 55.7385805]"
4448,"ул. Суздальская, д. 18, к. 1, Москва","[37.84903042260775, 55.741651149999996]"
4449,"ул. Суздальская, д. 18, к. 2, Москва","[37.84877984016929, 55.74211445]"
4450,"ул. Суздальская, д. 18, к. 3, Москва","[37.849098050133854, 55.74256505]"
4451,"ул. Суздальская, д. 18, к. 4, Москва","[37.849936489029574, 55.74270765]"
4452,"ул. Суздальская, д. 18, к. 5, Москва","[37.85071979507387, 55.74248395]"
4453,"ул. Суздальская, д. 42, к. 1, Москва","[37.876456070713864, 55.7453929]"
4454,"ул. Суздальская, д. 42, к. 2, Москва","[37.877098155442084, 55.745712049999995]"
4455,"ул. Суздальская, д. 42, к. 3, Москва","[37.87796055000001, 55.7456824]"
4456,"проезд. Сумской, д. 2, к. 5, Москва","[37.61540781021567, 55.6346651]"
4457,"проезд. Сумской, д. 2, к. 6, Москва","[37.6150483, 55.6337362]"
4458,"ул. Тайнинская, д. 13, к. 2, Москва","[37.68215090492322, 55.884335750000005]"
4459,"ул. Тайнинская, д. 15, к. 1, Москва","[37.6860926, 55.8846234]"
4460,"ул. Тайнинская, д. 17, к. 1, Москва","[37.6851355, 55.885597]"
4461,"ул. Тайнинская, д. 17, к. 2, Москва","[37.68379880118444, 55.8862048]"
4462,"ул. Тамбовская, д. 3/13, Москва","[37.74759390551209, 55.604646450000004]"
4463,"ул. Твардовского, д. 3, к. 1, Москва","[37.39344902313407, 55.797427850000005]"
4464,"ул. Теплый Стан, д. 13, к. 1, Москва","[37.49119935, 55.62404035]"
4465,"ул. Толбухина, д. 3, к. 2, Москва","[37.39908775056962, 55.718105050000005]"
4466,"ул. Трофимова, д. 32, к. 2, Москва","[37.68569604073134, 55.7021852]"
4467,"ул. Трофимова, д. 32, к. 1, Москва","[37.6847744, 55.702997]"
4468,"ул. Трофимова, д. 34, Москва","[37.68613875538452, 55.703087350000004]"
4469,"ул. Трофимова, д. 36, к. 1, Москва","[37.68636799990817, 55.703845599999994]"
4470,"ул. Усиевича, д. 8, Москва","[37.531175, 55.8054401]"
4471,"ул. Фестивальная, д. 18, Москва","[37.498798300000004, 55.85936615]"
4472,"ул. Фестивальная, д. 20, Москва","[37.49872490491342, 55.85979105]"
4473,"ул. Фестивальная, д. 22, к. 5, Москва","[37.50066434794335, 55.85835565]"
4474,"ул. Фестивальная, д. 28, Москва","[37.5028713, 55.8609058]"
4475,"ул. Фестивальная, д. 30, Москва","[37.50361110430546, 55.8604837]"
4476,"б-р. Филевский, д. 34, Москва","[37.49191585, 55.7630244]"
4477,"б-р. Филевский, д. 35, Москва","[37.49097076437246, 55.7630122]"
4478,"б-р. Филевский, д. 36, Москва","[37.48994856437247, 55.7629967]"
4479,"б-р. Филевский, д. 37, Москва","[37.488946864372465, 55.7629545]"
4480,"б-р. Филевский, д. 39, Москва","[37.48615339483408, 55.762916000000004]"
4481,"б-р. Филевский, д. 40, Москва","[37.48265760095222, 55.76282415]"
4482,"ул. Флотская, д. 2, Москва","[37.47615542719909, 55.84973635]"
4483,"ул. Флотская, д. 9, к. 1, Москва","[37.50017235914538, 55.8541982]"
4484,"ул. Флотская, д. 13, к. 3, Москва","[37.5028529, 55.8564298]"
4485,"ул. Флотская, д. 13, к. 4, Москва","[37.50232029381068, 55.8567889]"
4486,"ул. Флотская, д. 17, к. 1, Москва","[37.50752060934384, 55.857512299999996]"
4487,"ул. Флотская, д. 17, к. 2, Москва","[37.5068415, 55.8578446]"
4488,"ул. Флотская, д. 74, Москва","[37.514873364056314, 55.858439149999995]"
4489,"ул. Флотская, д. 76, Москва","[37.51392887921898, 55.85884195]"
4490,"ул. Хабаровская, д. 2, Москва","[37.8298334, 55.8149917]"
4491,"ул. Хабаровская, д. 4, Москва","[37.82907085, 55.81611925]"
4492,"ул. Халтуринская, д. 20, Москва","[37.7252624, 55.8064338]"
4493,"проезд. Харьковский, д. 9, к. 1, Москва","[37.6415233, 55.5902705]"
4494,"ул. Хачатуряна, д. 7, Москва","[37.5941301, 55.8582414]"
4495,"б-р. Хвалынский, д. 1, Москва","[37.85313038687891, 55.699058300000004]"
4496,"ул. Херсонская, д. 5, к. 2, Москва","[37.573302227510865, 55.64950185]"
4497,"ш. Хорошевское, д. 5, к. 1, Москва","[37.540881768365836, 55.77389135]"
4498,"ш. Хорошевское, д. 5, к. 2, Москва","[37.53855434276137, 55.77439655]"
4499,"ш. Хорошевское, д. 11, Москва","[37.534382, 55.775302]"
4500,"ш. Хорошевское, д. 17, Москва","[37.53170462823756, 55.77590075]"
4501,"ш. Хорошевское, д. 19, Москва","[37.53073297854445, 55.775550949999996]"
4502,"ш. Хорошевское, д. 46, Москва","[37.53591426638681, 55.7760638]"
4503,"ш. Хорошевское, д. 48, Москва","[37.5346003, 55.7762573]"
4504,"ш. Хорошевское, д. 50, к. 1, Москва","[37.533963649999976, 55.776855100000006]"
4505,"ш. Хорошевское, д. 50, к. 2, Москва","[37.53534958924847, 55.7780686]"
4506,"ш. Хорошевское, д. 50, к. 3, Москва","[37.53475706379445, 55.7785519]"
4507,"ш. Хорошевское, д. 52, к. 1, Москва","[37.533144747907684, 55.77668545]"
4508,"ш. Хорошевское, д. 52, к. 2, Москва","[37.5317234704775, 55.77719565]"
4509,"ш. Хорошевское, д. 56, Москва","[37.5336970208901, 55.77852995]"
4510,"ш. Хорошевское, д. 58, Москва","[37.533119, 55.7789715]"
4511,"ш. Хорошевское, д. 60, Москва","[37.53140242252683, 55.777919749999995]"
4512,"ш. Хорошевское, д. 62, Москва","[37.531945883203804, 55.77868495]"
4513,"ш. Хорошевское, д. 64, к. 2, Москва","[37.53023483623102, 55.77954715]"
4514,"ш. Хорошевское, д. 66, Москва","[37.52775080328135, 55.77793975]"
4515,"ш. Хорошевское, д. 68, к. 1, Москва","[37.526545, 55.7783053]"
4516,"ш. Хорошевское, д. 70, к. 1, Москва","[37.52537110301327, 55.778387949999995]"
4517,"ш. Хорошевское, д. 72, к. 1, Москва","[37.52445224314825, 55.7787712]"
4518,"ул. Цимлянская, д. 2, Москва","[37.77375431461426, 55.67198835]"
4519,"ул. Цимлянская, д. 14, Москва","[37.77221420383607, 55.6707863]"
4520,"ул. Цимлянская, д. 16, Москва","[37.77199556641035, 55.6714709]"
4521,"ул. Цимлянская, д. 20, Москва","[37.7704688, 55.6706314]"
4522,"ул. Цимлянская, д. 24, Москва","[37.768538713190964, 55.66994935]"
4523,"ул. Цимлянская, д. 28, Москва","[37.767373250000006, 55.669072]"
4524,"ул. Цюрупы, д. 8, Москва","[37.57802864202897, 55.67075845]"
4525,"ул. Цюрупы, д. 12, к. 6, Москва","[37.574800431096904, 55.6686801]"
4526,"ул. Цюрупы, д. 16, к. 1, Москва","[37.57321543799041, 55.667984]"
4527,"ул. Цюрупы, д. 18, к. 1, Москва","[37.57153486579315, 55.66751705]"
4528,"ул. Цюрупы, д. 20, к. 1, Москва","[37.56965645058999, 55.667256050000006]"
4529,"ул. Цюрупы, д. 22, к. 1, Москва","[37.56817320929902, 55.667268050000004]"
4530,"проезд. Черепановых, д. 38, к. 1, Москва","[37.53088648971143, 55.84185715]"
4531,"ул. Чертановская, д. 1В, к. 1, Москва","[37.6065096, 55.6397359]"
4532,"ул. Чертановская, д. 8, к. 1, Москва","[37.5980678, 55.63110365]"
4533,"ул. Чертановская, д. 48, к. 2, Москва","[37.589522, 55.6074383]"
4534,"ул. Чичерина, д. 10, к. 1, Москва","[37.65087742158204, 55.86538485]"
4535,"ул. Чичерина, д. 12, к. 2, Москва","[37.6554528, 55.8645567]"
4536,"ул. Чоботовская, д. 1, Москва","[37.35616829999999, 55.642107800000005]"
4537,"ул. Чоботовская, д. 3, Москва","[37.354321575357055, 55.64179575]"
4538,"проезд. Чукотский, д. 2, Москва","[37.6515866, 55.8662574]"
4539,"ш. Шелепихинское, д. 19, Москва","[37.52146660789628, 55.7596181]"
4540,"ул. Шипиловская, д. 22, Москва","[37.7106314, 55.61820435]"
4541,"ул. Шипиловская, д. 48, к. 1, Москва","[37.735855400000005, 55.621320749999995]"
4542,"проезд. Шипиловский, д. 41, к. 1, Москва","[37.698210493897605, 55.611987]"
4543,"проезд. Шипиловский, д. 43, к. 2, Москва","[37.69913261867585, 55.61143595]"
4544,"проезд. Шипиловский, д. 43, к. 1, Москва","[37.69749291338029, 55.610531550000005]"
4545,"проезд. Шипиловский, д. 45, к. 1, Москва","[37.6979984, 55.6100909]"
4546,"проезд. Шипиловский, д. 53/2, Москва","[37.7017845, 55.6071045]"
4547,"ул. Широкая, д. 5, к. 4, Москва","[37.65561709896235, 55.8899809]"
4548,"ул. Широкая, д. 6, к. 4, Москва","[37.65007668449129, 55.887393450000005]"
4549,"ул. Шолохова, д. 7, Москва","[37.34885165247583, 55.6385504]"
4550,"ул. Шолохова, д. 10, Москва","[37.35505710232353, 55.6378811]"
4551,"ул. Шолохова, д. 12, Москва","[37.3515513, 55.6396766]"
4552,"ул. Шолохова, д. 14, Москва","[37.3524582, 55.6407489]"
4553,"ул. Шоссейная, д. 50, к. 1, Москва","[38.8136978, 55.0562378]"
4554,"ш. Щелковское, д. 25/15, Москва","[37.7771044, 55.8096711]"
4555,"ш. Щелковское, д. 27, Москва","[37.7787892, 55.8102036]"
4556,"ул. Щербаковская, д. 55, Москва","[37.73946657839316, 55.78330875]"
4557,"ул. Щорса, д. 2, Москва","[37.4075355, 55.6481871]"
4558,"ул. Щорса, д. 4, Москва","[37.405943020963605, 55.647114]"
4559,"ул. Щорса, д. 4, к. 1, Москва","[37.404932815733204, 55.647069200000004]"
4560,"ул. Щорса, д. 4, к. 2, Москва","[37.4054467, 55.64761025]"
4561,"ул. Щорса, д. 8, Москва","[37.40414322354417, 55.64475215]"
4562,"ул. Щорса, д. 8, к. 1, Москва","[37.40316634705982, 55.6453512]"
4563,"ул. Щорса, д. 10, Москва","[37.40354465, 55.64397495]"
4564,"ул. Элеваторная, д. 10, к. 1, Москва","[37.6634495, 55.6016856]"
4565,"б-р. Яна Райниса, д. 39, Москва","[37.41434764547249, 55.849789]"
4566,"б-р. Яна Райниса, д. 43, Москва","[37.410212664280934, 55.84995065]"
4567,"б-р. Яна Райниса, д. 47, к. 1, Москва","[37.40451771548821, 55.848076500000005]"
4568,"ул. Ярцевская, д. 29, к. 1, Москва","[37.4176958, 55.7424516]"
4569,"ул. Ярцевская, д. 29, к. 2, Москва","[37.41721445212811, 55.74287205]"
4570,"ул. Ярцевская, д. 29, к. 3, Москва","[37.4186829, 55.7428991]"
4571,"ул. Ясеневая, д. 42, к. 1, Москва","[37.747465207790924, 55.6084763]"
4572,"ул. Ясеневая, д. 44/42, Москва","[37.74600206950839, 55.60963215]"
4573,"проезд. Ясный, д. 25, Москва","[37.61792071566377, 55.87881375]"
4574,"проезд. Ясный, д. 25, к. 2, Москва","[37.61822868927473, 55.879314050000005]"
4575,"г. Зеленоград, к. 449, Москва",0
4576,"г. Зеленоград, к. 450, Москва",0
4577,"г. Зеленоград, д. 1822, Москва",0
4578,"г. Зеленоград, д. 1823, Москва",0
4579,"б-р. Самаркандский Квартал 134а, к. 2, Москва","[37.827762699999994, 55.70457275]"
4580,"г. Зеленоград, к. 1821, Москва",0
4581,"г. Зеленоград, к. 1925, Москва",0
4582,"кв-л. Волжский Бульвар 95-й, д. -, к. 6, Москва",0
4583,"пер. Полевой 2-й, д. 2, Москва","[37.6805235, 55.792078]"
4584,"кв-л. Волжский Бульвар 114 А, д. 114а, к. 4, Москва",0
4585,"мкр. Чертаново Северное, д. 6, к. 601, 602, 603, 604, Москва","[37.59204406898522, 55.6346902]"
4586,"мкр. Чертаново Северное, д. 6, к. 605, 606, 607, 608, Москва","[37.59138995491993, 55.636475149999995]"
4587,"мкр. Чертаново Северное, д. 4, к. 405, 406, 407, 408, 409, Москва","[37.595028842936856, 55.63897755000001]"
4588,"г. Зеленоград, к. 905, Москва",0
4589,"г. Зеленоград, к. 906, Москва",0
4590,"г. Зеленоград, к. 908, Москва",0
4591,"г. Зеленоград, к. 909, Москва",0
4592,"г. Зеленоград, к. 913, Москва",0
4593,"г. Зеленоград, к. 914, Москва",0
4594,"г. Зеленоград, к. 915, Москва",0
4595,"г. Зеленоград, к. 916, Москва",0
4596,"г. Зеленоград, к. 917, Москва",0
4597,"г. Зеленоград, к. 922, Москва",0
4598,"г. Зеленоград, к. 828Б, Москва",0
4599,"кв-л. Волжский Бульвар 114 А, д. 114А, к. 6, Москва",0
4600,"кв-л. Волжский Бульвар 113 А, к. 2, Москва",0
4601,"кв-л. Волжский Бульвар 114 А, к. 2, Москва",0
4602,"кв-л. Капотня 3-й, д. 25, Москва",0
4603,"кв-л. Капотня 4-й, д. 7, Москва",0
4604,"кв-л. Капотня 4-й, д. 8, Москва",0
4605,"кв-л. Капотня 5-й, д. 2, Москва",0
4606,"кв-л. Капотня 5-й, д. 3, Москва",0
4607,"кв-л. Капотня 5-й, д. 4, Москва",0
4608,"кв-л. Капотня 5-й, д. 9, Москва",0
4609,"кв-л. Капотня 5-й, д. 10, Москва",0
4610,"кв-л. Капотня 5-й, д. 15, Москва",0
4611,"кв-л. Капотня 5-й, д. 17, Москва",0
4612,"кв-л. Капотня 5-й, д. 19, Москва",0
4613,"кв-л. Капотня 5-й, д. 24, Москва",0
4614,"кв-л. Капотня 5-й, д. 25, Москва",0
4615,"кв-л. Капотня 5-й, д. 26, Москва",0
4616,"г. Зеленоград, к. 1822, Москва",0
4617,"г. Зеленоград, к. 1823, Москва",0
4618,"кв-л. Волжский Бульвар 113 А, к. 5, Москва",0
4619,"кв-л. Волжский Бульвар 113 А, к. 7, Москва",0
4620,"кв-л. Волжский Бульвар 113 А, к. 9, Москва",0
4621,"кв-л. Волжский Бульвар 114 А, к. 6, Москва",0
4622,"ул. Аэропортовская 1-я, д. 6, Москва","[37.5361478, 55.8009594]"
4623,"ул. Владимирская 1-я, д. 11, Москва","[37.7693148, 55.7627052]"
4624,"ул. Мелитопольская 1-я, д. 2, Москва","[37.5770009, 55.5363814]"
4625,"ул. Мелитопольская 1-я, д. 4, Москва","[37.5770009, 55.5363814]"
4626,"ул. Новокузьминская 1-я, д. 20, к. 3, Москва","[37.7891769, 55.7149042]"
4627,"ул. Останкинская 2-я, д. 2, Москва","[37.6115067, 55.8236683]"
4628,"ул. Соколиной Горы 10-я, д. 8, к. 2, Москва","[37.7355229, 55.77422]"
4629,"ул. Парковая 11-я, д. 14, Москва","[37.8055787, 55.7933204]"
4630,"ул. Парковая 11-я, д. 29, Москва","[37.8055787, 55.7933204]"
4631,"ул. Парковая 13-я, д. 22, к. 4, Москва","[37.8119143, 55.8065172]"
4632,"ул. Парковая 15-я, д. 48, к. 1, Москва","[37.81948, 55.7888719]"
4633,"ул. Парковая 15-я, д. 48, к. 2, Москва","[37.8165131, 55.8113146]"
4634,"пер. Крестовский 2-й, д. 4, Москва","[37.6349679, 55.7916102]"
4635,"пер. Крестовский 2-й, д. 8, Москва","[37.6349679, 55.7916102]"
4636,"пер. Крестовский 2-й, д. 12, Москва","[37.6349679, 55.7916102]"
4637,"ул. Владимирская 2-я, д. 8, к. 2, Москва","[37.7845012, 55.7513886]"
4638,"ул. Владимирская 2-я, д. 12, к. 1, Москва","[37.7845012, 55.7513886]"
4639,"ул. Владимирская 2-я, д. 12, к. 2, Москва","[37.7845012, 55.7513886]"
4640,"ул. Владимирская 2-я, д. 47, к. 1, Москва","[37.7845012, 55.7513886]"
4641,"ул. Владимирская 2-я, д. 47, к. 2, Москва","[37.7845012, 55.7513886]"
4642,"ул. Вольская 2-я, д. 26, Москва","[37.9399358, 55.6969556]"
4643,"ул. Вольская 2-я, д. 28, Москва","[37.9399358, 55.6969556]"
4644,"ул. Квесисская 2-я, д. 25, Москва","[37.579078, 55.7951228]"
