,house_id,met_vok_id,route,duration,distance
20,2622,2,"{'coordinates': [[37.635748, 55.727648], [37.635614, 55.729854], [37.634993, 55.729968], [37.634979, 55.73001], [37.63516, 55.73003], [37.635506, 55.730524], [37.635728, 55.730554], [37.635685, 55.730649], [37.635765, 55.730657], [37.635972, 55.73068], [37.636485, 55.730738], [37.636043, 55.731276], [37.635967, 55.731374], [37.635881, 55.731523], [37.635381, 55.731807], [37.635316, 55.731793], [37.635248, 55.731902], [37.635126, 55.731874], [37.633517, 55.734496], [37.631451, 55.736664], [37.630649, 55.737988], [37.630063, 55.739189], [37.629634, 55.741405], [37.629498, 55.741407], [37.629452, 55.74224], [37.629237, 55.742202], [37.629246, 55.742269], [37.629478, 55.742377], [37.629326, 55.742457], [37.629323, 55.742415], [37.629317, 55.742346]], 'type': 'LineString'}",1337.147,1916.676
21,2622,3,"{'coordinates': [[37.635748, 55.727648], [37.635614, 55.729854], [37.635414, 55.729972], [37.635272, 55.729998], [37.634993, 55.729968], [37.634979, 55.73001], [37.63516, 55.73003], [37.635169, 55.730192], [37.635506, 55.730524], [37.635728, 55.730554], [37.635685, 55.730649], [37.635765, 55.730657], [37.635972, 55.73068], [37.636485, 55.730738], [37.636098, 55.731209], [37.636806, 55.731342], [37.636784, 55.73138], [37.63723, 55.731464]], 'type': 'LineString'}",402.087,583.104
22,2622,4,"{'coordinates': [[37.635748, 55.727648], [37.635738, 55.727808], [37.63506, 55.727805], [37.634873, 55.727918], [37.634886, 55.728201], [37.634481, 55.728189], [37.63448, 55.728296], [37.634444, 55.728314], [37.634234, 55.728271], [37.634234, 55.728393], [37.633769, 55.728423], [37.633184, 55.728444], [37.632296, 55.728444], [37.632333, 55.72835], [37.63178, 55.728239], [37.630846, 55.728099], [37.63036, 55.729286], [37.630169, 55.72926], [37.630115, 55.729351], [37.627115, 55.728954], [37.626959, 55.729183], [37.625616, 55.729103], [37.625607, 55.729064], [37.624262, 55.729183], [37.624212, 55.729333], [37.623787, 55.729318], [37.623808, 55.729219], [37.623621, 55.729128], [37.623574, 55.728848], [37.62297, 55.728847], [37.62295, 55.728787]], 'type': 'LineString'}",805.521,1117.612
23,2622,5,"{'coordinates': [[37.635748, 55.727648], [37.635738, 55.727808], [37.63506, 55.727805], [37.634873, 55.727918], [37.634886, 55.728201], [37.634523, 55.728199], [37.634234, 55.728128], [37.634213, 55.728144], [37.631086, 55.727521], [37.631035, 55.727638], [37.628498, 55.727117], [37.625921, 55.726808], [37.625912, 55.726832], [37.625861, 55.726826], [37.62563, 55.726801], [37.625332, 55.726762], [37.62517, 55.727206]], 'type': 'LineString'}",567.796,801.131
24,2624,0,"{'coordinates': [[37.629999, 55.743566], [37.629994, 55.74351], [37.631154, 55.74347], [37.631211, 55.74303], [37.631244, 55.743018], [37.631299, 55.74239], [37.631361, 55.742364], [37.636226, 55.736233], [37.637052, 55.736183], [37.637143, 55.736072], [37.639512, 55.732497], [37.639648, 55.732544], [37.640169, 55.732285], [37.641648, 55.730758], [37.641378, 55.730156], [37.640902, 55.730121]], 'type': 'LineString'}",1309.008,1807.174
25,2624,1,"{'coordinates': [[37.629999, 55.743566], [37.629953, 55.743053], [37.629884, 55.742423], [37.629592, 55.742375], [37.629562, 55.74231], [37.629394, 55.742217], [37.629148, 55.742212], [37.629001, 55.74227], [37.629005, 55.742022], [37.628885, 55.74202], [37.62889, 55.741933], [37.628626, 55.741928], [37.62863, 55.741898], [37.628423, 55.741888], [37.628454, 55.741337], [37.628387, 55.74082], [37.627019, 55.740897], [37.625663, 55.740903], [37.625664, 55.740775], [37.625659, 55.740638], [37.625657, 55.74061], [37.625048, 55.740608], [37.625051, 55.740978], [37.625142, 55.741124], [37.625692, 55.741177]], 'type': 'LineString'}",519.05,728.459
26,2624,2,"{'coordinates': [[37.629999, 55.743566], [37.629953, 55.743053], [37.629884, 55.742423], [37.629592, 55.742375], [37.629493, 55.742255], [37.629237, 55.742202], [37.629246, 55.742269], [37.629391, 55.742293], [37.629478, 55.742377], [37.629394, 55.742494], [37.629326, 55.742457], [37.629323, 55.742415], [37.629317, 55.742346]], 'type': 'LineString'}",165.126,240.229
27,2624,3,"{'coordinates': [[37.629999, 55.743566], [37.629994, 55.74351], [37.630965, 55.743463], [37.631096, 55.742301], [37.634747, 55.737645], [37.634002, 55.737384], [37.635239, 55.735728], [37.635275, 55.735728], [37.635718, 55.735022], [37.637857, 55.731583], [37.63723, 55.731464]], 'type': 'LineString'}",1098.994,1555.708
28,2624,4,"{'coordinates': [[37.629999, 55.743566], [37.629953, 55.743053], [37.629884, 55.742423], [37.629592, 55.742375], [37.629452, 55.74224], [37.62949, 55.741687], [37.628967, 55.741675], [37.628974, 55.741414], [37.628664, 55.741406], [37.627846, 55.734274], [37.627292, 55.732519], [37.626555, 55.731733], [37.625649, 55.730064], [37.625375, 55.730082], [37.624114, 55.730023], [37.624165, 55.729739], [37.623889, 55.729608], [37.623808, 55.729219], [37.623574, 55.728848], [37.62297, 55.728847], [37.62295, 55.728787]], 'type': 'LineString'}",1378.577,1893.485
29,2624,5,"{'coordinates': [[37.629999, 55.743566], [37.629953, 55.743053], [37.629884, 55.742423], [37.629592, 55.742375], [37.629452, 55.74224], [37.62949, 55.741687], [37.628967, 55.741675], [37.628974, 55.741414], [37.628664, 55.741406], [37.627292, 55.732519], [37.626555, 55.731733], [37.625649, 55.730064], [37.625206, 55.727647], [37.625342, 55.726962], [37.625483, 55.726762], [37.625921, 55.726808], [37.625912, 55.726832], [37.625861, 55.726826], [37.62563, 55.726801], [37.625332, 55.726762], [37.62517, 55.727206]], 'type': 'LineString'}",1498.676,2097.089
